Week,Retailer,Sales Gold NZ BL,Sales Gold NZ ZR
01/05/2017,Retail,52096.46496,52096.46496
08/05/2017,Lotte Mart,6297.431487,6297.431487
08/05/2017,Lotte super,3713.790087,3713.790087
08/05/2017,Homeplus,11094.29446,11094.29446
08/05/2017,AK Plaza,270,270
08/05/2017,GS Retail,3296,3296
08/05/2017,Lotte Department,462,462
08/05/2017,GS25,68,68
08/05/2017,Emart everyday,1210.611953,1210.611953
08/05/2017,CS Distribution,0,0
08/05/2017,Eland,1428.51312,1428.51312
08/05/2017,Emart,21822.35685,21822.35685
08/05/2017,Emart traders,1754.360641,1754.360641
08/05/2017,Homeplus Express,1556.247813,1556.247813
08/05/2017,Mega Mart,438.3090379,438.3090379
08/05/2017,Costco Korea,6004.014545,6004.014545
08/05/2017,VIC Market,388,388
08/05/2017,Hyundae Department,4080.787172,4080.787172
08/05/2017,Market 999,0,0
08/05/2017,Homeplus 365,0,0
08/05/2017,Emart24,0,0
08/05/2017,Mini Stop,0,0
08/05/2017,No Brand,0,0
08/05/2017,CU,0,0
08/05/2017,Shinsegae Department,0,0
08/05/2017,Sampling ,645.7612245,645.7612245
08/05/2017,Loss,0,0
08/05/2017,Wholesale,58503.23032,58503.23032
08/05/2017,E-commerce,564,564
08/05/2017,Retail,63884.71717,63884.71717
15/05/2017,Lotte Mart,11853.58309,11853.58309
15/05/2017,Lotte super,6384.440233,6384.440233
15/05/2017,Homeplus,19269.68222,19269.68222
15/05/2017,AK Plaza,234,234
15/05/2017,GS Retail,1486,1486
15/05/2017,Lotte Department,449,449
15/05/2017,GS25,369,369
15/05/2017,Emart everyday,1439.279009,1439.279009
15/05/2017,CS Distribution,0,0
15/05/2017,Eland,3456.151603,3456.151603
15/05/2017,Emart,17183.80408,17183.80408
15/05/2017,Emart traders,4357.916618,4357.916618
15/05/2017,Homeplus Express,3462.206997,3462.206997
15/05/2017,Mega Mart,687.1720117,687.1720117
15/05/2017,Costco Korea,48920.65455,48920.65455
15/05/2017,VIC Market,425,425
15/05/2017,Hyundae Department,3623.58309,3623.58309
15/05/2017,Market 999,0,0
15/05/2017,Homeplus 365,0,0
15/05/2017,Emart24,0,0
15/05/2017,Mini Stop,0,0
15/05/2017,No Brand,0,0
15/05/2017,CU,0,0
15/05/2017,Shinsegae Department,0,0
15/05/2017,Sampling ,680.877551,680.877551
15/05/2017,Loss,0,0
15/05/2017,Wholesale,75169.54227,75169.54227
15/05/2017,E-commerce,1500.51895,1500.51895
15/05/2017,Retail,123601.4735,123601.4735
22/05/2017,Lotte Mart,8268.262391,8268.262391
22/05/2017,Lotte super,5417.457726,5417.457726
22/05/2017,Homeplus,19520.31195,19520.31195
22/05/2017,AK Plaza,449,449
22/05/2017,GS Retail,1433,1433
22/05/2017,Lotte Department,324,324
22/05/2017,GS25,514,514
22/05/2017,Emart everyday,2980.637691,2980.637691
22/05/2017,CS Distribution,0,0
22/05/2017,Eland,2616.443149,2616.443149
22/05/2017,Emart,19762.42514,19762.42514
22/05/2017,Emart traders,3512.665437,3512.665437
22/05/2017,Homeplus Express,4145.367347,4145.367347
22/05/2017,Mega Mart,380.4664723,380.4664723
22/05/2017,Costco Korea,15745.24364,15745.24364
22/05/2017,VIC Market,275,275
22/05/2017,Hyundae Department,3695.393586,3695.393586
