Week,Retailer,Sales Gold NZ BL,Sales Gold NZ ZR
26/03/2018,Lotte super,A,0
26/03/2018,Homeplus,A,0
26/03/2018,AK Plaza,A,0
26/03/2018,GS Retail,A,0
26/03/2018,Lotte Department,A,0
26/03/2018,GS25,A,0
26/03/2018,Emart everyday,A,0
26/03/2018,CS Distribution,A,0
26/03/2018,Eland,A,0
26/03/2018,Emart,A,0
26/03/2018,Emart traders,A,0
26/03/2018,Homeplus Express,A,0
26/03/2018,Mega Mart,A,0
26/03/2018,Costco Korea,A,0
26/03/2018,VIC Market,A,0
26/03/2018,Hyundae Department,A,0
26/03/2018,Market 999,A,0
26/03/2018,Homeplus 365,A,0
26/03/2018,Emart24,A,0
26/03/2018,Mini Stop,A,0
26/03/2018,No Brand,A,0
26/03/2018,CU,A,0
26/03/2018,Shinsegae Department,A,0
26/03/2018,Sampling ,A,0
26/03/2018,Loss,A,0
26/03/2018,Wholesale,A,0
26/03/2018,E-commerce,A,0
26/03/2018,Retail,A,0
02/04/2018,Lotte Mart,A,0
02/04/2018,Lotte super,A,0
02/04/2018,Homeplus,A,0
02/04/2018,AK Plaza,A,0
02/04/2018,GS Retail,A,0
02/04/2018,Lotte Department,A,0
02/04/2018,GS25,A,0
02/04/2018,Emart everyday,A,0
02/04/2018,CS Distribution,A,0
02/04/2018,Eland,A,0
02/04/2018,Emart,A,0
02/04/2018,Emart traders,A,0
02/04/2018,Homeplus Express,A,0
02/04/2018,Mega Mart,A,0
02/04/2018,Costco Korea,A,0
02/04/2018,VIC Market,A,0
02/04/2018,Hyundae Department,A,0
02/04/2018,Market 999,A,0
02/04/2018,Homeplus 365,A,0
02/04/2018,Emart24,A,0
02/04/2018,Mini Stop,A,0
02/04/2018,No Brand,A,0
02/04/2018,CU,A,0
02/04/2018,Shinsegae Department,A,0
02/04/2018,Sampling ,A,0
02/04/2018,Loss,A,0
02/04/2018,Wholesale,A,0
02/04/2018,E-commerce,A,0
02/04/2018,Retail,A,0
09/04/2018,Lotte Mart,A,0
09/04/2018,Lotte super,A,0
09/04/2018,Homeplus,A,0
09/04/2018,AK Plaza,A,0
09/04/2018,GS Retail,A,0
09/04/2018,Lotte Department,A,0
09/04/2018,GS25,A,0
09/04/2018,Emart everyday,A,0
09/04/2018,CS Distribution,A,0
09/04/2018,Eland,A,0
09/04/2018,Emart,A,0
09/04/2018,Emart traders,A,0
09/04/2018,Homeplus Express,A,0
09/04/2018,Mega Mart,A,0
09/04/2018,Costco Korea,A,0
09/04/2018,VIC Market,A,0
09/04/2018,Hyundae Department,A,0
09/04/2018,Market 999,A,0
09/04/2018,Homeplus 365,A,0
09/04/2018,Emart24,A,0
09/04/2018,Mini Stop,A,0
09/04/2018,No Brand,A,0
09/04/2018,CU,A,0
09/04/2018,Shinsegae Department,A,0
09/04/2018,Sampling ,A,0
09/04/2018,Loss,A,0
09/04/2018,Wholesale,A,0
09/04/2018,E-commerce,A,0
09/04/2018,Retail,A,0
16/04/2018,Lotte Mart,A,0
16/04/2018,Lotte super,A,0
16/04/2018,Homeplus,A,0
16/04/2018,AK Plaza,A,49
16/04/2018,GS Retail,A,0
16/04/2018,Lotte Department,A,71
16/04/2018,GS25,A,0
16/04/2018,Emart everyday,A,0
16/04/2018,CS Distribution,A,0
16/04/2018,Eland,A,0
16/04/2018,Emart,A,0
16/04/2018,Emart traders,A,0
16/04/2018,Homeplus Express,A,0
16/04/2018,Mega Mart,A,0
16/04/2018,Costco Korea,A,0
16/04/2018,VIC Market,A,0
16/04/2018,Hyundae Department,A,0
16/04/2018,Market 999,A,0
16/04/2018,Homeplus 365,A,0
16/04/2018,Emart24,A,0
16/04/2018,Mini Stop,A,0
16/04/2018,No Brand,A,0
16/04/2018,CU,A,0
16/04/2018,Shinsegae Department,A,0
16/04/2018,Sampling ,A,0
16/04/2018,Loss,A,0
16/04/2018,Wholesale,52491.20412,52491.20412
16/04/2018,E-commerce,8,8
16/04/2018,Retail,120,120
23/04/2018,Lotte Mart,2103.285714,2103.285714
23/04/2018,Lotte super,256.5072886,256.5072886
23/04/2018,Homeplus,4430.982507,4430.982507
23/04/2018,AK Plaza,124,124
23/04/2018,GS Retail,233,233
23/04/2018,Lotte Department,169,169
23/04/2018,GS25,0,0
23/04/2018,Emart everyday,926.7099847,926.7099847
23/04/2018,CS Distribution,0,0
23/04/2018,Eland,391.2536443,391.2536443
23/04/2018,Emart,8794.396429,8794.396429
23/04/2018,Emart traders,3116.425771,3116.425771
23/04/2018,Homeplus Express,2284.297376,2284.297376
23/04/2018,Mega Mart,140.9912536,140.9912536
23/04/2018,Costco Korea,0,0
23/04/2018,VIC Market,230,230
23/04/2018,Hyundae Department,1108.921283,1108.921283
23/04/2018,Market 999,0,0
23/04/2018,Homeplus 365,0,0
23/04/2018,Emart24,0,0
23/04/2018,Mini Stop,0,0
23/04/2018,No Brand,0,0
23/04/2018,CU,0,0
23/04/2018,Shinsegae Department,0,0
23/04/2018,Sampling ,0,0
23/04/2018,Loss,0,0
23/04/2018,Wholesale,212608.8251,212608.8251
23/04/2018,E-commerce,13,13
23/04/2018,Retail,24309.77125,24309.77125
30/04/2018,Lotte Mart,10782.02041,10782.02041
30/04/2018,Lotte super,4167.87172,4167.87172
30/04/2018,Homeplus,20359.6035,20359.6035
30/04/2018,AK Plaza,179,179
30/04/2018,GS Retail,1636,1636
30/04/2018,Lotte Department,428,428
30/04/2018,GS25,219,219
30/04/2018,Emart everyday,4713.276093,4713.276093
30/04/2018,CS Distribution,0,0
30/04/2018,Eland,6441.836735,6441.836735
30/04/2018,Emart,16812.46501,16812.46501
30/04/2018,Emart traders,5217.646064,5217.646064
30/04/2018,Homeplus Express,4797.985423,4797.985423
30/04/2018,Mega Mart,1978.862974,1978.862974
30/04/2018,Costco Korea,17752.90766,17752.90766
30/04/2018,VIC Market,447,447
30/04/2018,Hyundae Department,3104.752187,3104.752187
30/04/2018,Market 999,124.5772595,124.5772595
30/04/2018,Homeplus 365,0,0
30/04/2018,Emart24,0,0
30/04/2018,Mini Stop,0,0
30/04/2018,No Brand,0,0
30/04/2018,CU,0,0
30/04/2018,Shinsegae Department,0,0
30/04/2018,Sampling ,19.32653061,19.32653061
30/04/2018,Loss,0,0
30/04/2018,Wholesale,6081.370262,6081.370262
30/04/2018,E-commerce,1108.586006,1108.586006
30/04/2018,Retail,99162.80504,99162.80504
07/05/2018,Lotte Mart,4209,4209
07/05/2018,Lotte super,4257,4257
07/05/2018,Homeplus,20483,20483
07/05/2018,AK Plaza,292,292
07/05/2018,GS Retail,4772,4772
07/05/2018,Lotte Department,393,393
07/05/2018,GS25,152,152
07/05/2018,Emart everyday,1824.862099,1824.862099
07/05/2018,CS Distribution,0,0
07/05/2018,Eland,2067,2067
07/05/2018,Emart,15332,15332
07/05/2018,Emart traders,3721.2,3721.2
07/05/2018,Homeplus Express,4042,4042
07/05/2018,Mega Mart,1449,1449
07/05/2018,Costco Korea,5289.474525,5289.474525
07/05/2018,VIC Market,470,470
07/05/2018,Hyundae Department,3002,3002
07/05/2018,Market 999,31.42857143,31.42857143
07/05/2018,Homeplus 365,0,0
07/05/2018,Emart24,0,0
07/05/2018,Mini Stop,0,0
07/05/2018,No Brand,631.4,631.4
07/05/2018,CU,0,0
07/05/2018,Shinsegae Department,0,0
07/05/2018,Sampling ,870.2510204,870.2510204
07/05/2018,Loss,0,0
07/05/2018,Wholesale,124668.3003,124668.3003
07/05/2018,E-commerce,4176.565598,4176.565598
07/05/2018,Retail,72418.3652,72418.3652
14/05/2018,Lotte Mart,20320.71429,20320.71429
14/05/2018,Lotte super,3309.03207,3309.03207
14/05/2018,Homeplus,31950.66472,31950.66472
14/05/2018,AK Plaza,180,180
14/05/2018,GS Retail,1064,1064
14/05/2018,Lotte Department,518,518
14/05/2018,GS25,164,164
14/05/2018,Emart everyday,2309.657434,2309.657434
14/05/2018,CS Distribution,0,0
14/05/2018,Eland,7994.211388,7994.211388
14/05/2018,Emart,21359.60729,21359.60729
14/05/2018,Emart traders,5520.527114,5520.527114
14/05/2018,Homeplus Express,3750.029155,3750.029155
14/05/2018,Mega Mart,1323.265306,1323.265306
14/05/2018,Costco Korea,12193.56033,12193.56033
14/05/2018,VIC Market,86,86
14/05/2018,Hyundae Department,3363.061224,3363.061224
14/05/2018,Market 999,47.14285714,47.14285714
14/05/2018,Homeplus 365,0,0
14/05/2018,Emart24,0,0
14/05/2018,Mini Stop,0,0
14/05/2018,No Brand,680.7,680.7
14/05/2018,CU,0,0
14/05/2018,Shinsegae Department,0,0
14/05/2018,Sampling ,1351.536735,1351.536735
14/05/2018,Loss,0,0
14/05/2018,Wholesale,50394.43149,50394.43149
14/05/2018,E-commerce,5790.606414,5790.606414
14/05/2018,Retail,116134.1732,116134.1732
21/05/2018,Lotte Mart,7022.428571,7022.428571
21/05/2018,Lotte super,3681.702624,3681.702624
21/05/2018,Homeplus,23856.75219,23856.75219
21/05/2018,AK Plaza,596,596
21/05/2018,GS Retail,3528,3528
21/05/2018,Lotte Department,618,618
21/05/2018,GS25,156,156
21/05/2018,Emart everyday,1540.198516,1540.198516
21/05/2018,CS Distribution,0,0
21/05/2018,Eland,4231.690962,4231.690962
21/05/2018,Emart,22507.97173,22507.97173
21/05/2018,Emart traders,9626.719798,9626.719798
21/05/2018,Homeplus Express,3725.236152,3725.236152
21/05/2018,Mega Mart,1372.71137,1372.71137
21/05/2018,Costco Korea,29570.42138,29570.42138
21/05/2018,VIC Market,521,521
21/05/2018,Hyundae Department,3824.023324,3824.023324
21/05/2018,Market 999,50,50
21/05/2018,Homeplus 365,0,0
21/05/2018,Emart24,7.327576923,7.327576923
21/05/2018,Mini Stop,0,0
21/05/2018,No Brand,915.1347109,915.1347109
21/05/2018,CU,109.7959184,109.7959184
21/05/2018,Shinsegae Department,0,0
21/05/2018,Sampling ,1380.827347,1380.827347
21/05/2018,Loss,0,0
21/05/2018,Wholesale,74544.74636,74544.74636
21/05/2018,E-commerce,4480.950441,4480.950441
21/05/2018,Retail,117461.1148,117461.1148
28/05/2018,Lotte Mart,15204.79592,15204.79592
28/05/2018,Lotte super,6173.230321,6173.230321
28/05/2018,Homeplus,33272.3207,33272.3207
28/05/2018,AK Plaza,329,329
28/05/2018,GS Retail,3562,3562
28/05/2018,Lotte Department,402,402
28/05/2018,GS25,172,172
28/05/2018,Emart everyday,3116.900763,3116.900763
28/05/2018,CS Distribution,0,0
28/05/2018,Eland,7266.997085,7266.997085
28/05/2018,Emart,26585.6302,26585.6302
28/05/2018,Emart traders,4491.972996,4491.972996
28/05/2018,Homeplus Express,5216.381924,5216.381924
28/05/2018,Mega Mart,449.5043732,449.5043732
28/05/2018,Costco Korea,24751.18682,24751.18682
28/05/2018,VIC Market,381,381
28/05/2018,Hyundae Department,3497.142857,3497.142857
28/05/2018,Market 999,0,0
28/05/2018,Homeplus 365,0,0
28/05/2018,Emart24,1.641,1.641
28/05/2018,Mini Stop,0,0
28/05/2018,No Brand,870.2113873,870.2113873
28/05/2018,CU,86.90962099,86.90962099
28/05/2018,Shinsegae Department,0,0
28/05/2018,Sampling ,1505.065615,1505.065615
28/05/2018,Loss,0,0
28/05/2018,Wholesale,77448.34111,77448.34111
28/05/2018,E-commerce,10203.36,10203.36
28/05/2018,Retail,135830.826,135830.826
04/06/2018,Lotte Mart,2562.714286,2562.714286
04/06/2018,Lotte super,3316.96793,3316.96793
04/06/2018,Homeplus,22429.18659,22429.18659
04/06/2018,AK Plaza,694,694
04/06/2018,GS Retail,2634,2634
04/06/2018,Lotte Department,419,419
04/06/2018,GS25,260,260
04/06/2018,Emart everyday,4522.319265,4522.319265
04/06/2018,CS Distribution,0,0
04/06/2018,Eland,1633.644315,1633.644315
04/06/2018,Emart,24837.31352,24837.31352
04/06/2018,Emart traders,5306.829149,5306.829149
04/06/2018,Homeplus Express,5559.067055,5559.067055
04/06/2018,Mega Mart,823.4402332,823.4402332
04/06/2018,Costco Korea,25726.50818,25726.50818
04/06/2018,VIC Market,1603,1603
04/06/2018,Hyundae Department,3638.367347,3638.367347
04/06/2018,Market 999,70.87463557,70.87463557
04/06/2018,Homeplus 365,14.4606414,14.4606414
04/06/2018,Emart24,0,0
04/06/2018,Mini Stop,0,0
04/06/2018,No Brand,979.757931,979.757931
04/06/2018,CU,62.27405248,62.27405248
04/06/2018,Shinsegae Department,0,0
04/06/2018,Sampling ,1216.476373,1216.476373
04/06/2018,Loss,0,0
04/06/2018,Wholesale,98410.63469,98410.63469
04/06/2018,E-commerce,28782.33988,28782.33988
04/06/2018,Retail,107093.7251,107093.7251
11/06/2018,Lotte Mart,12686.28571,12686.28571
11/06/2018,Lotte super,2917.938776,2917.938776
11/06/2018,Homeplus,24292.82507,24292.82507
11/06/2018,AK Plaza,154,154
11/06/2018,GS Retail,3745,3745
11/06/2018,Lotte Department,483,483
11/06/2018,GS25,314,314
11/06/2018,Emart everyday,3481.907325,3481.907325
11/06/2018,CS Distribution,0,0
11/06/2018,Eland,10933.61516,10933.61516
11/06/2018,Emart,26655.28515,26655.28515
11/06/2018,Emart traders,6027.194244,6027.194244
11/06/2018,Homeplus Express,8267.297376,8267.297376
11/06/2018,Mega Mart,5058.51312,5058.51312
11/06/2018,Costco Korea,9461.719838,9461.719838
11/06/2018,VIC Market,1198,1198
11/06/2018,Hyundae Department,3284.139942,3284.139942
11/06/2018,Market 999,81.74927114,81.74927114
11/06/2018,Homeplus 365,13.14868805,13.14868805
11/06/2018,Emart24,43.9788,43.9788
11/06/2018,Mini Stop,0,0
11/06/2018,No Brand,976.3627586,976.3627586
11/06/2018,CU,75.83090379,75.83090379
11/06/2018,Shinsegae Department,0,0
11/06/2018,Sampling ,1410.012816,1410.012816
11/06/2018,Loss,0,0
11/06/2018,Wholesale,74079.29446,74079.29446
11/06/2018,E-commerce,24522.33236,24522.33236
11/06/2018,Retail,120151.7921,120151.7921
18/06/2018,Lotte Mart,10351.57143,10351.57143
18/06/2018,Lotte super,4156.069971,4156.069971
18/06/2018,Homeplus,19659.08163,19659.08163
18/06/2018,AK Plaza,503,503
18/06/2018,GS Retail,2849,2849
18/06/2018,Lotte Department,318,318
18/06/2018,GS25,310,310
18/06/2018,Emart everyday,3563.916038,3563.916038
18/06/2018,CS Distribution,0,0
18/06/2018,Eland,1529.591837,1529.591837
18/06/2018,Emart,18596.424,18596.424
18/06/2018,Emart traders,4597.922563,4597.922563
18/06/2018,Homeplus Express,6671.827988,6671.827988
18/06/2018,Mega Mart,113.1195335,113.1195335
18/06/2018,Costco Korea,13526.6306,13526.6306
18/06/2018,VIC Market,678,678
18/06/2018,Hyundae Department,2434.635569,2434.635569
18/06/2018,Market 999,88.74635569,88.74635569
18/06/2018,Homeplus 365,12.41982507,12.41982507
18/06/2018,Emart24,25.44812308,25.44812308
18/06/2018,Mini Stop,0,0
18/06/2018,No Brand,660.8398408,660.8398408
18/06/2018,CU,121.1370262,121.1370262
18/06/2018,Shinsegae Department,0,0
18/06/2018,Sampling ,1061.251883,1061.251883
18/06/2018,Loss,0,0
18/06/2018,Wholesale,75077.13549,75077.13549
18/06/2018,E-commerce,16035.9158,16035.9158
18/06/2018,Retail,90767.38233,90767.38233
25/06/2018,Lotte Mart,12683.85714,12683.85714
25/06/2018,Lotte super,4144.174927,4144.174927
25/06/2018,Homeplus,23180.10787,23180.10787
25/06/2018,AK Plaza,257,257
25/06/2018,GS Retail,2004,2004
25/06/2018,Lotte Department,417,417
25/06/2018,GS25,747,747
25/06/2018,Emart everyday,2998.855519,2998.855519
25/06/2018,CS Distribution,0,0
25/06/2018,Eland,8925.422741,8925.422741
25/06/2018,Emart,20333.81491,20333.81491
25/06/2018,Emart traders,7340.635224,7340.635224
25/06/2018,Homeplus Express,3739.886297,3739.886297
25/06/2018,Mega Mart,549.8833819,549.8833819
25/06/2018,Costco Korea,13050.04473,13050.04473
25/06/2018,VIC Market,1774,1774
25/06/2018,Hyundae Department,914.9562682,914.9562682
25/06/2018,Market 999,80.72886297,80.72886297
25/06/2018,Homeplus 365,7.930029155,7.930029155
25/06/2018,Emart24,35.24615385,35.24615385
25/06/2018,Mini Stop,9.887907692,9.887907692
25/06/2018,No Brand,846.6488146,846.6488146
25/06/2018,CU,39.44606414,39.44606414
25/06/2018,Shinsegae Department,0,0
25/06/2018,Sampling ,1244.339347,1244.339347
25/06/2018,Loss,0,0
25/06/2018,Wholesale,70399.48805,70399.48805
25/06/2018,E-commerce,8757.471137,8757.471137
25/06/2018,Retail,104080.5268,104080.5268
02/07/2018,Lotte Mart,6992.571429,6992.571429
02/07/2018,Lotte super,4802.311953,4802.311953
02/07/2018,Homeplus,14474.86006,14474.86006
02/07/2018,AK Plaza,221,221
02/07/2018,GS Retail,1790,1790
02/07/2018,Lotte Department,300,300
02/07/2018,GS25,1442,1442
02/07/2018,Emart everyday,2730.10334,2730.10334
02/07/2018,CS Distribution,0,0
02/07/2018,Eland,866.1516035,866.1516035
02/07/2018,Emart,20215.71288,20215.71288
02/07/2018,Emart traders,10906.78262,10906.78262
02/07/2018,Homeplus Express,3167.883382,3167.883382
02/07/2018,Mega Mart,481.0787172,481.0787172
02/07/2018,Costco Korea,6760.271,6760.271
02/07/2018,VIC Market,1361,1361
02/07/2018,Hyundae Department,2559.387755,2559.387755
02/07/2018,Market 999,32.59475219,32.59475219
02/07/2018,Homeplus 365,10.55393586,10.55393586
02/07/2018,Emart24,40.53926154,40.53926154
02/07/2018,Mini Stop,8.322646154,8.322646154
02/07/2018,No Brand,893.1636233,893.1636233
02/07/2018,CU,32.303207,32.303207
02/07/2018,Shinsegae Department,0,0
02/07/2018,Sampling ,1272.706694,1272.706694
02/07/2018,Loss,0,0
02/07/2018,Wholesale,77096.60355,77096.60355
02/07/2018,E-commerce,16053.86589,16053.86589
02/07/2018,Retail,80088.59216,80088.59216
09/07/2018,Lotte Mart,6444.571429,6444.571429
09/07/2018,Lotte super,3842.731778,3842.731778
09/07/2018,Homeplus,14935.17493,14935.17493
09/07/2018,AK Plaza,167,167
09/07/2018,GS Retail,2429,2429
09/07/2018,Lotte Department,265,265
09/07/2018,GS25,1570,1570
09/07/2018,Emart everyday,4492.492265,4492.492265
09/07/2018,CS Distribution,0,0
09/07/2018,Eland,7041.311953,7041.311953
09/07/2018,Emart,17694.34896,17694.34896
09/07/2018,Emart traders,4543.258804,4543.258804
09/07/2018,Homeplus Express,2156.746356,2156.746356
09/07/2018,Mega Mart,847.5218659,847.5218659
09/07/2018,Costco Korea,11050.54518,11050.54518
09/07/2018,VIC Market,417,417
09/07/2018,Hyundae Department,2316.588921,2316.588921
09/07/2018,Market 999,122.8279883,122.8279883
09/07/2018,Homeplus 365,8.221574344,8.221574344
09/07/2018,Emart24,27.87427692,27.87427692
09/07/2018,Mini Stop,6.373138462,6.373138462
09/07/2018,No Brand,843.9510345,843.9510345
09/07/2018,CU,32.24489796,32.24489796
09/07/2018,Shinsegae Department,0,0
09/07/2018,Sampling ,1283.298531,1283.298531
09/07/2018,Loss,0,0
09/07/2018,Wholesale,69132.17201,69132.17201
09/07/2018,E-commerce,6933.629738,6933.629738
09/07/2018,Retail,81254.78535,81254.78535
16/07/2018,Lotte Mart,7209.571429,7209.571429
16/07/2018,Lotte super,1874.131195,1874.131195
16/07/2018,Homeplus,11816.80466,11816.80466
16/07/2018,AK Plaza,518,518
16/07/2018,GS Retail,1554,1554
16/07/2018,Lotte Department,379,379
16/07/2018,GS25,839,839
16/07/2018,Emart everyday,1029.689528,1029.689528
16/07/2018,CS Distribution,0,0
16/07/2018,Eland,5665.737609,5665.737609
16/07/2018,Emart,15454.53188,15454.53188
16/07/2018,Emart traders,3280.864443,3280.864443
16/07/2018,Homeplus Express,1665.886297,1665.886297
16/07/2018,Mega Mart,1723.411079,1723.411079
16/07/2018,Costco Korea,8208.1244,8208.1244
16/07/2018,VIC Market,417,417
16/07/2018,Hyundae Department,2114.402332,2114.402332
16/07/2018,Market 999,50.14577259,50.14577259
16/07/2018,Homeplus 365,13.44023324,13.44023324
16/07/2018,Emart24,20.15753846,20.15753846
16/07/2018,Mini Stop,3.060338462,3.060338462
16/07/2018,No Brand,596.8268966,596.8268966
16/07/2018,CU,28.97959184,28.97959184
16/07/2018,Shinsegae Department,0,0
16/07/2018,Sampling ,1241.441388,1241.441388
16/07/2018,Loss,0,0
16/07/2018,Wholesale,57103.41399,57103.41399
16/07/2018,E-commerce,5486.221574,5486.221574
16/07/2018,Retail,64462.76523,64462.76523
23/07/2018,Lotte Mart,8054,8054
23/07/2018,Lotte super,2323.361516,2323.361516
23/07/2018,Homeplus,16895.4898,16895.4898
23/07/2018,AK Plaza,255,255
23/07/2018,GS Retail,906,906
23/07/2018,Lotte Department,374,374
23/07/2018,GS25,777,777
23/07/2018,Emart everyday,1034.170729,1034.170729
23/07/2018,CS Distribution,0,0
23/07/2018,Eland,4063.397085,4063.397085
23/07/2018,Emart,22064.19322,22064.19322
23/07/2018,Emart traders,4376.765408,4376.765408
23/07/2018,Homeplus Express,1942.099125,1942.099125
23/07/2018,Mega Mart,375.4810496,375.4810496
23/07/2018,Costco Korea,13841.13859,13841.13859
23/07/2018,VIC Market,97,97
23/07/2018,Hyundae Department,2070.932945,2070.932945
23/07/2018,Market 999,79.44606414,79.44606414
23/07/2018,Homeplus 365,8.775510204,8.775510204
23/07/2018,Emart24,24.54178462,24.54178462
23/07/2018,Mini Stop,3.615753846,3.615753846
23/07/2018,No Brand,740.0365517,740.0365517
23/07/2018,CU,26.7638484,26.7638484
23/07/2018,Shinsegae Department,0,0
23/07/2018,Sampling ,1119.114857,1119.114857
23/07/2018,Loss,0,0
23/07/2018,Wholesale,44841.50146,44841.50146
23/07/2018,E-commerce,4629.877551,4629.877551
23/07/2018,Retail,80333.20898,80333.20898
30/07/2018,Lotte Mart,9026.857143,9026.857143
30/07/2018,Lotte super,2918.12828,2918.12828
30/07/2018,Homeplus,15960.30029,15960.30029
30/07/2018,AK Plaza,233,233
30/07/2018,GS Retail,2829,2829
30/07/2018,Lotte Department,240,240
30/07/2018,GS25,329,329
30/07/2018,Emart everyday,3247.971875,3247.971875
30/07/2018,CS Distribution,0,0
30/07/2018,Eland,466.7930029,466.7930029
30/07/2018,Emart,23397.79996,23397.79996
30/07/2018,Emart traders,4549.000863,4549.000863
30/07/2018,Homeplus Express,3939.795918,3939.795918
30/07/2018,Mega Mart,410.4081633,410.4081633
30/07/2018,Costco Korea,39833.41879,39833.41879
30/07/2018,VIC Market,62,62
30/07/2018,Hyundae Department,1603.236152,1603.236152
30/07/2018,Market 999,67.75510204,67.75510204
30/07/2018,Homeplus 365,8.483965015,8.483965015
30/07/2018,Emart24,22.16864615,22.16864615
30/07/2018,Mini Stop,1.666246154,1.666246154
30/07/2018,No Brand,837.6569072,837.6569072
30/07/2018,CU,27.0845481,27.0845481
30/07/2018,Shinsegae Department,0,0
30/07/2018,Sampling ,896.1788367,896.1788367
30/07/2018,Loss,0,0
30/07/2018,Wholesale,35755.73469,35755.73469
30/07/2018,E-commerce,2406.71137,2406.71137
30/07/2018,Retail,110011.5259,110011.5259
06/08/2018,Lotte Mart,8654.714286,8654.714286
06/08/2018,Lotte super,2151.536443,2151.536443
06/08/2018,Homeplus,10835.32653,10835.32653
06/08/2018,AK Plaza,221,221
06/08/2018,GS Retail,1655,1655
06/08/2018,Lotte Department,131,131
06/08/2018,GS25,210,210
06/08/2018,Emart everyday,1173.327192,1173.327192
06/08/2018,CS Distribution,0,0
06/08/2018,Eland,4694.746356,4694.746356
06/08/2018,Emart,14574.50603,14574.50603
06/08/2018,Emart traders,2616.503939,2616.503939
06/08/2018,Homeplus Express,2052.413994,2052.413994
06/08/2018,Mega Mart,659.6793003,659.6793003
06/08/2018,Costco Korea,7091.0308,7091.0308
06/08/2018,VIC Market,280,280
06/08/2018,Hyundae Department,1688.134111,1688.134111
06/08/2018,Market 999,60.23323615,60.23323615
06/08/2018,Homeplus 365,9.795918367,9.795918367
06/08/2018,Emart24,16.20929231,16.20929231
06/08/2018,Mini Stop,1.868215385,1.868215385
06/08/2018,No Brand,700.2934854,700.2934854
06/08/2018,CU,19.27113703,19.27113703
06/08/2018,Shinsegae Department,0,0
06/08/2018,Sampling ,753.6278163,753.6278163
06/08/2018,Loss,0,0
06/08/2018,Wholesale,52259.99417,52259.99417
06/08/2018,E-commerce,2925.74344,2925.74344
06/08/2018,Retail,59496.59027,59496.59027
13/08/2018,Lotte Mart,7282.489796,7282.489796
13/08/2018,Lotte super,4021.714286,4021.714286
13/08/2018,Homeplus,13740.96501,13740.96501
13/08/2018,AK Plaza,356,356
13/08/2018,GS Retail,2262,2262
13/08/2018,Lotte Department,300,300
13/08/2018,GS25,224,224
13/08/2018,Emart everyday,2449.413994,2449.413994
13/08/2018,CS Distribution,0,0
13/08/2018,Eland,817.9212828,817.9212828
13/08/2018,Emart,17013.4621,17013.4621
13/08/2018,Emart traders,4533.591837,4533.591837
13/08/2018,Homeplus Express,3538.962099,3538.962099
13/08/2018,Mega Mart,390.9620991,390.9620991
13/08/2018,Costco Korea,9727.463925,9727.463925
13/08/2018,VIC Market,391,391
13/08/2018,Hyundae Department,1927.28863,1927.28863
13/08/2018,Market 999,56.44314869,56.44314869
13/08/2018,Homeplus 365,11.66180758,11.66180758
13/08/2018,Emart24,14.6,14.6
13/08/2018,Mini Stop,1,1
13/08/2018,No Brand,923,923
13/08/2018,CU,26.88046647,26.88046647
13/08/2018,Shinsegae Department,0,0
13/08/2018,Sampling ,728.6074082,728.6074082
13/08/2018,Loss,0,0
13/08/2018,Wholesale,55504.34111,55504.34111
13/08/2018,E-commerce,2307.113703,2307.113703
13/08/2018,Retail,70010.82048,70010.82048
20/08/2018,Lotte Mart,8067.428571,8067.428571
20/08/2018,Lotte super,1611.3207,1611.3207
20/08/2018,Homeplus,10770.39942,10770.39942
20/08/2018,AK Plaza,290,290
20/08/2018,GS Retail,1723,1723
20/08/2018,Lotte Department,293,293
20/08/2018,GS25,703,703
20/08/2018,Emart everyday,1059.401564,1059.401564
20/08/2018,CS Distribution,0,0
20/08/2018,Eland,1673.236152,1673.236152
20/08/2018,Emart,12280.07416,12280.07416
20/08/2018,Emart traders,2184.783959,2184.783959
20/08/2018,Homeplus Express,3248.107872,3248.107872
20/08/2018,Mega Mart,1870.991254,1870.991254
20/08/2018,Costco Korea,15247.42369,15247.42369
20/08/2018,VIC Market,866,866
20/08/2018,Hyundae Department,2386.38484,2386.38484
20/08/2018,Market 999,49.35860058,49.35860058
20/08/2018,Homeplus 365,8.862973761,8.862973761
20/08/2018,Emart24,15.8152,15.8152
20/08/2018,Mini Stop,2.262307692,2.262307692
20/08/2018,No Brand,945.0827586,945.0827586
20/08/2018,CU,45.88921283,45.88921283
20/08/2018,Shinsegae Department,0,0
20/08/2018,Sampling ,877.2577143,877.2577143
20/08/2018,Loss,0,0
20/08/2018,Wholesale,58214.90378,58214.90378
20/08/2018,E-commerce,3404.921283,3404.921283
20/08/2018,Retail,65341.82323,65341.82323
27/08/2018,Lotte Mart,5236.285714,5236.285714
27/08/2018,Lotte super,2760.274052,2760.274052
27/08/2018,Homeplus,13056.89796,13056.89796
27/08/2018,AK Plaza,256,256
27/08/2018,GS Retail,1582,1582
27/08/2018,Lotte Department,275,275
27/08/2018,GS25,201,201
27/08/2018,Emart everyday,2257.00789,2257.00789
27/08/2018,CS Distribution,0,0
27/08/2018,Eland,752.0174927,752.0174927
27/08/2018,Emart,16819.31627,16819.31627
27/08/2018,Emart traders,9703.442362,9703.442362
27/08/2018,Homeplus Express,3262.819242,3262.819242
27/08/2018,Mega Mart,668.8979592,668.8979592
27/08/2018,Costco Korea,4048.332769,4048.332769
27/08/2018,VIC Market,428,428
