Week,Retailer,Sales Green NZ BL,Sales Green NZ ZR
08/05/2017,Emart traders,0,0
08/05/2017,Homeplus Express,0,0
08/05/2017,Mega Mart,0,0
08/05/2017,Costco Korea,0,0
08/05/2017,VIC Market,0,0
08/05/2017,Hyundae Department,0,0
08/05/2017,Market 999,0,0
08/05/2017,Homeplus 365,0,0
08/05/2017,Emart24,0,0
08/05/2017,Mini Stop,0,0
08/05/2017,No Brand,0,0
08/05/2017,CU,0,0
08/05/2017,Shinsegae Department,0,0
08/05/2017,Sampling ,0,0
08/05/2017,Loss,0,0
08/05/2017,Wholesale,73372.28571,73372.28571
08/05/2017,E-commerce,3,3
08/05/2017,Retail,319,319
15/05/2017,Lotte Mart,2796.514286,2796.514286
15/05/2017,Lotte super,31.8,31.8
15/05/2017,Homeplus,4385.6,4385.6
15/05/2017,AK Plaza,47,47
15/05/2017,GS Retail,345,345
15/05/2017,Lotte Department,177,177
15/05/2017,GS25,0,0
15/05/2017,Emart everyday,1070,1070
15/05/2017,CS Distribution,0,0
15/05/2017,Eland,572.0857143,572.0857143
15/05/2017,Emart,17406.53714,17406.53714
15/05/2017,Emart traders,1886.057143,1886.057143
15/05/2017,Homeplus Express,2422.714286,2422.714286
15/05/2017,Mega Mart,299,299
15/05/2017,Costco Korea,10648.18182,10648.18182
15/05/2017,VIC Market,230,230
15/05/2017,Hyundae Department,237.3428571,237.3428571
15/05/2017,Market 999,0,0
15/05/2017,Homeplus 365,0,0
15/05/2017,Emart24,0,0
15/05/2017,Mini Stop,0,0
15/05/2017,No Brand,0,0
15/05/2017,CU,0,0
15/05/2017,Shinsegae Department,0,0
15/05/2017,Sampling ,171.6,171.6
15/05/2017,Loss,0,0
15/05/2017,Wholesale,66156.2,66156.2
15/05/2017,E-commerce,43,43
15/05/2017,Retail,42554.83325,42554.83325
22/05/2017,Lotte Mart,1768.342857,1768.342857
22/05/2017,Lotte super,48.77142857,48.77142857
22/05/2017,Homeplus,6121.542857,6121.542857
22/05/2017,AK Plaza,70,70
22/05/2017,GS Retail,592,592
22/05/2017,Lotte Department,186,186
22/05/2017,GS25,103,103
22/05/2017,Emart everyday,1889.183429,1889.183429
22/05/2017,CS Distribution,0,0
22/05/2017,Eland,590.5714286,590.5714286
22/05/2017,Emart,6510.122571,6510.122571
22/05/2017,Emart traders,2243.808,2243.808
22/05/2017,Homeplus Express,2010.257143,2010.257143
22/05/2017,Mega Mart,171.7714286,171.7714286
22/05/2017,Costco Korea,7047.272727,7047.272727
22/05/2017,VIC Market,126,126
22/05/2017,Hyundae Department,170.1714286,170.1714286
22/05/2017,Market 999,14.14285714,14.14285714
22/05/2017,Homeplus 365,0,0
22/05/2017,Emart24,0,0
22/05/2017,Mini Stop,0,0
22/05/2017,No Brand,0,0
22/05/2017,CU,0,0
22/05/2017,Shinsegae Department,0,0
22/05/2017,Sampling ,440.0857143,440.0857143
22/05/2017,Loss,0,0
22/05/2017,Wholesale,98548.87414,98548.87414
22/05/2017,E-commerce,120,120
22/05/2017,Retail,29662.95816,29662.95816
29/05/2017,Lotte Mart,4362.257143,4362.257143
29/05/2017,Lotte super,2774.485714,2774.485714
29/05/2017,Homeplus,8018.8,8018.8
29/05/2017,AK Plaza,233,233
29/05/2017,GS Retail,493,493
29/05/2017,Lotte Department,141,141
29/05/2017,GS25,111,111
29/05/2017,Emart everyday,1003.971429,1003.971429
29/05/2017,CS Distribution,0,0
29/05/2017,Eland,446.6285714,446.6285714
29/05/2017,Emart,5883.514286,5883.514286
29/05/2017,Emart traders,2288.771429,2288.771429
29/05/2017,Homeplus Express,2335.657143,2335.657143
29/05/2017,Mega Mart,238.4,238.4
29/05/2017,Costco Korea,7557.272727,7557.272727
29/05/2017,VIC Market,584,584
29/05/2017,Hyundae Department,209.7428571,209.7428571
29/05/2017,Market 999,64.62857143,64.62857143
29/05/2017,Homeplus 365,0,0
29/05/2017,Emart24,0,0
29/05/2017,Mini Stop,0,0
29/05/2017,No Brand,0,0
29/05/2017,CU,0,0
29/05/2017,Shinsegae Department,0,0
29/05/2017,Sampling ,436.8571429,436.8571429
29/05/2017,Loss,0,0
29/05/2017,Wholesale,89758.62857,89758.62857
29/05/2017,E-commerce,125,125
29/05/2017,Retail,36746.12987,36746.12987
05/06/2017,Lotte Mart,4343.205714,4343.205714
05/06/2017,Lotte super,714.3657143,714.3657143
05/06/2017,Homeplus,7205.565714,7205.565714
05/06/2017,AK Plaza,53,53
05/06/2017,GS Retail,334,334
05/06/2017,Lotte Department,115,115
05/06/2017,GS25,88,88
05/06/2017,Emart everyday,1341.965714,1341.965714
05/06/2017,CS Distribution,0,0
05/06/2017,Eland,376.9142857,376.9142857
05/06/2017,Emart,7150.337143,7150.337143
05/06/2017,Emart traders,2435.857143,2435.857143
05/06/2017,Homeplus Express,1176.72,1176.72
05/06/2017,Mega Mart,132.0914286,132.0914286
05/06/2017,Costco Korea,6228.181818,6228.181818
05/06/2017,VIC Market,37,37
05/06/2017,Hyundae Department,322.12,322.12
05/06/2017,Market 999,30.46857143,30.46857143
05/06/2017,Homeplus 365,0,0
05/06/2017,Emart24,0,0
05/06/2017,Mini Stop,0,0
05/06/2017,No Brand,0,0
05/06/2017,CU,0,0
05/06/2017,Shinsegae Department,0,0
05/06/2017,Sampling ,520.1,520.1
05/06/2017,Loss,0,0
05/06/2017,Wholesale,84736.38,84736.38
05/06/2017,E-commerce,116,116
05/06/2017,Retail,32084.79325,32084.79325
12/06/2017,Lotte Mart,4761.257143,4761.257143
