country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
JP,Japan,Overall,,,,,15-02-2020,-1,4,7,1,4,0
JP,Japan,Overall,,,,,16-02-2020,-9,-6,-35,-10,-2,2
JP,Japan,Overall,,,,,17-02-2020,-2,1,-5,-1,0,1
JP,Japan,Overall,,,,,18-02-2020,1,2,1,-2,0,1
JP,Japan,Overall,,,,,19-02-2020,0,2,8,-3,0,0
JP,Japan,Overall,,,,,20-02-2020,1,4,4,-3,0,0
JP,Japan,Overall,,,,,21-02-2020,-1,2,7,-2,0,1
JP,Japan,Overall,,,,,22-02-2020,-5,1,-10,-3,-1,2
JP,Japan,Overall,,,,,23-02-2020,1,3,16,2,0,0
JP,Japan,Overall,,,,,24-02-2020,18,4,54,-27,-55,14
JP,Japan,Overall,,,,,25-02-2020,0,7,0,-2,1,1
JP,Japan,Overall,,,,,26-02-2020,-4,3,-5,-5,1,1
JP,Japan,Overall,,,,,27-02-2020,-3,6,-4,-7,0,1
JP,Japan,Overall,,,,,28-02-2020,-2,14,-4,-10,1,2
JP,Japan,Overall,,,,,29-02-2020,-10,9,-22,-21,3,4
JP,Japan,Overall,,,,,01-03-2020,-10,9,-1,-23,1,4
JP,Japan,Overall,,,,,02-03-2020,-10,3,-15,-15,-2,4
JP,Japan,Overall,,,,,03-03-2020,-2,9,11,-15,-2,4
JP,Japan,Overall,,,,,04-03-2020,-12,-2,-21,-19,-4,5
JP,Japan,Overall,,,,,05-03-2020,-9,3,-8,-18,-4,4
JP,Japan,Overall,,,,,06-03-2020,-9,2,5,-18,-4,5
JP,Japan,Overall,,,,,07-03-2020,-12,2,-8,-24,-4,5
JP,Japan,Overall,,,,,08-03-2020,-17,-4,-35,-31,-5,6
JP,Japan,Overall,,,,,09-03-2020,-7,2,11,-15,-3,4
JP,Japan,Overall,,,,,10-03-2020,-9,-3,-28,-18,-5,6
JP,Japan,Overall,,,,,11-03-2020,-3,4,13,-16,-4,3
JP,Japan,Overall,,,,,12-03-2020,-3,5,16,-15,-4,3
JP,Japan,Overall,,,,,13-03-2020,-5,3,10,-17,-4,5
JP,Japan,Overall,,,,,14-03-2020,-14,-4,-39,-27,-7,7
JP,Japan,Overall,,,,,15-03-2020,-7,5,9,-21,-3,3
JP,Japan,Overall,,,,,16-03-2020,-7,0,-7,-15,-3,4
JP,Japan,Overall,,,,,17-03-2020,-1,4,14,-15,-4,4
JP,Japan,Overall,,,,,18-03-2020,-3,3,20,-14,-4,3
JP,Japan,Overall,,,,,19-03-2020,4,6,17,-10,-4,2
JP,Japan,Overall,,,,,20-03-2020,7,6,40,-34,-54,17
JP,Japan,Overall,,,,,21-03-2020,-6,5,34,-15,-7,3
JP,Japan,Overall,,,,,22-03-2020,-9,1,18,-18,-3,3
JP,Japan,Overall,,,,,23-03-2020,-4,0,11,-13,-3,3
JP,Japan,Overall,,,,,24-03-2020,0,3,14,-13,-4,4
JP,Japan,Overall,,,,,25-03-2020,2,8,31,-11,-4,2
JP,Japan,Overall,,,,,26-03-2020,0,13,26,-13,-5,3
JP,Japan,Overall,,,,,27-03-2020,-10,3,-9,-19,-7,6
JP,Japan,Overall,,,,,28-03-2020,-18,1,-23,-33,-8,7
JP,Japan,Overall,,,,,29-03-2020,-26,-7,-25,-41,-9,7
JP,Japan,Overall,,,,,30-03-2020,-7,4,-2,-20,-8,5
JP,Japan,Overall,,,,,31-03-2020,-4,7,9,-20,-7,5
JP,Japan,Overall,,,,,01-04-2020,-20,-5,-29,-25,-10,7
JP,Japan,Overall,,,,,02-04-2020,-12,6,13,-23,-10,6
JP,Japan,Overall,,,,,03-04-2020,-14,6,26,-25,-11,7
JP,Japan,Overall,,,,,04-04-2020,-21,6,26,-35,-12,8
JP,Japan,Overall,,,,,05-04-2020,-25,2,3,-43,-13,8
JP,Japan,Overall,,,,,06-04-2020,-13,7,15,-24,-11,7
JP,Japan,Overall,,,,,07-04-2020,-12,6,17,-27,-13,8
JP,Japan,Overall,,,,,08-04-2020,-22,2,16,-34,-16,9
JP,Japan,Overall,,,,,09-04-2020,-24,2,8,-36,-17,10
JP,Japan,Overall,,,,,10-04-2020,-26,4,0,-38,-18,12
JP,Japan,Overall,,,,,11-04-2020,-30,4,3,-48,-22,12
JP,Japan,Overall,,,,,12-04-2020,-40,-9,-35,-58,-22,12
JP,Japan,Overall,,,,,13-04-2020,-38,-15,-45,-45,-20,13
JP,Japan,Overall,,,,,14-04-2020,-23,5,10,-41,-20,12
JP,Japan,Overall,,,,,15-04-2020,-24,7,17,-41,-21,11
JP,Japan,Overall,,,,,16-04-2020,-27,5,9,-43,-22,12
JP,Japan,Overall,,,,,17-04-2020,-31,4,-1,-46,-23,14
JP,Japan,Overall,,,,,18-04-2020,-48,-14,-47,-60,-26,16
JP,Japan,Overall,,,,,19-04-2020,-40,-3,1,-53,-23,11
JP,Japan,Overall,,,,,20-04-2020,-37,-8,-33,-47,-23,14
JP,Japan,Overall,,,,,21-04-2020,-31,1,8,-46,-25,14
JP,Japan,Overall,,,,,22-04-2020,-36,-4,-3,-48,-26,14
JP,Japan,Overall,,,,,23-04-2020,-36,-3,-4,-48,-26,15
JP,Japan,Overall,,,,,24-04-2020,-37,-1,-8,-48,-26,16
JP,Japan,Overall,,,,,25-04-2020,-41,-3,-9,-53,-26,14
JP,Japan,Overall,,,,,26-04-2020,-45,-9,-16,-58,-27,12
JP,Japan,Overall,,,,,27-04-2020,-35,-5,-9,-47,-26,15
JP,Japan,Overall,,,,,28-04-2020,-28,2,4,-46,-27,14
JP,Japan,Overall,,,,,29-04-2020,-30,-5,23,-64,-64,22
JP,Japan,Overall,,,,,30-04-2020,-30,4,8,-47,-32,16
JP,Japan,Overall,,,,,01-05-2020,-35,1,4,-50,-35,19
JP,Japan,Overall,,,,,02-05-2020,-43,-5,-11,-55,-30,15
JP,Japan,Overall,,,,,03-05-2020,-45,-9,-19,-58,-30,12
JP,Japan,Overall,,,,,04-05-2020,-28,-6,4,-67,-73,29
JP,Japan,Overall,,,,,05-05-2020,-23,0,29,-65,-73,29
JP,Japan,Overall,,,,,06-05-2020,-36,-12,-17,-69,-72,30
JP,Japan,Overall,,,,,07-05-2020,-31,1,3,-44,-26,14
JP,Japan,Overall,,,,,08-05-2020,-34,0,6,-45,-27,16
JP,Japan,Overall,,,,,09-05-2020,-39,-5,-20,-51,-20,13
JP,Japan,Overall,,,,,10-05-2020,-38,-7,-35,-56,-24,12
JP,Japan,Overall,,,,,11-05-2020,-32,-2,0,-42,-22,12
JP,Japan,Overall,,,,,12-05-2020,-30,0,6,-43,-23,13
JP,Japan,Overall,,,,,13-05-2020,-31,-1,4,-44,-23,13
JP,Japan,Overall,,,,,14-05-2020,-30,-1,6,-44,-23,12
JP,Japan,Overall,,,,,15-05-2020,-32,0,-4,-44,-23,15
JP,Japan,Overall,,,,,16-05-2020,-40,-12,-52,-55,-23,14
JP,Japan,Overall,,,,,17-05-2020,-32,-1,-2,-48,-20,9
JP,Japan,Overall,,,,,18-05-2020,-32,-7,-20,-42,-20,13
JP,Japan,Overall,,,,,19-05-2020,-29,-4,-20,-43,-22,14
JP,Japan,Overall,,,,,20-05-2020,-26,1,-6,-41,-21,12
JP,Japan,Overall,,,,,21-05-2020,-27,-1,-8,-41,-21,12
JP,Japan,Overall,,,,,22-05-2020,-29,-2,-5,-41,-21,13
JP,Japan,Overall,,,,,23-05-2020,-27,0,-8,-43,-20,11
JP,Japan,Overall,,,,,24-05-2020,-27,-1,8,-42,-17,8
JP,Japan,Overall,,,,,25-05-2020,-22,2,2,-35,-18,10
JP,Japan,Overall,,,,,26-05-2020,-22,-1,-8,-36,-18,11
JP,Japan,Overall,,,,,27-05-2020,-20,2,5,-35,-18,10
JP,Japan,Overall,,,,,28-05-2020,-20,1,5,-34,-18,10
JP,Japan,Overall,,,,,29-05-2020,-21,2,5,-34,-17,11
JP,Japan,Overall,,,,,30-05-2020,-20,3,1,-34,-14,8
JP,Japan,Overall,,,,,31-05-2020,-22,0,-16,-39,-14,7
JP,Japan,Overall,,,,,01-06-2020,-21,-2,-13,-26,-11,8
JP,Japan,Overall,,,,,02-06-2020,-16,2,5,-27,-13,8
JP,Japan,Overall,,,,,03-06-2020,-19,1,5,-28,-13,8
JP,Japan,Overall,,,,,04-06-2020,-18,2,2,-28,-13,8
JP,Japan,Overall,,,,,05-06-2020,-18,1,1,-29,-15,9
JP,Japan,Overall,,,,,06-06-2020,-17,1,-2,-31,-15,7
JP,Japan,Overall,,,,,07-06-2020,-15,2,10,-32,-13,5
JP,Japan,Overall,,,,,08-06-2020,-17,-1,1,-26,-11,7
JP,Japan,Overall,,,,,09-06-2020,-13,2,7,-26,-12,8
JP,Japan,Overall,,,,,10-06-2020,-14,2,-1,-26,-13,7
JP,Japan,Overall,,,,,11-06-2020,-20,-6,-26,-28,-14,9
JP,Japan,Overall,,,,,12-06-2020,-16,0,-10,-27,-15,9
JP,Japan,Overall,,,,,13-06-2020,-18,-6,-40,-35,-19,9
JP,Japan,Overall,,,,,14-06-2020,-16,-2,-30,-36,-13,6
JP,Japan,Overall,,,,,15-06-2020,-12,3,-3,-23,-11,6
JP,Japan,Overall,,,,,16-06-2020,-9,3,6,-23,-11,7
JP,Japan,Overall,,,,,17-06-2020,-11,2,10,-23,-12,6
JP,Japan,Overall,,,,,18-06-2020,-16,-4,-14,-25,-13,7
JP,Japan,Overall,,,,,19-06-2020,-15,-5,-26,-26,-15,9
JP,Japan,Overall,,,,,20-06-2020,-7,6,10,-21,-12,4
JP,Japan,Overall,,,,,21-06-2020,-9,2,11,-24,-10,4
JP,Japan,Overall,,,,,22-06-2020,-16,-5,-14,-22,-11,7
JP,Japan,Overall,,,,,23-06-2020,-8,3,6,-20,-11,6
JP,Japan,Overall,,,,,24-06-2020,-11,1,6,-21,-11,6
JP,Japan,Overall,,,,,25-06-2020,-11,2,-13,-20,-12,6
JP,Japan,Overall,,,,,26-06-2020,-11,1,-7,-21,-13,7
JP,Japan,Overall,,,,,27-06-2020,-8,3,0,-20,-15,5
JP,Japan,Overall,,,,,28-06-2020,-12,-1,-20,-28,-12,5
JP,Japan,Overall,,,,,29-06-2020,-9,0,1,-19,-9,6
JP,Japan,Overall,,,,,30-06-2020,-11,-2,-22,-21,-10,7
JP,Japan,Overall,,,,,01-07-2020,-13,-2,-12,-21,-9,6
JP,Japan,Overall,,,,,02-07-2020,-9,3,2,-19,-10,5
JP,Japan,Overall,,,,,03-07-2020,-14,-4,-14,-21,-11,7
JP,Japan,Overall,,,,,04-07-2020,-13,-1,-28,-27,-13,7
JP,Japan,Overall,,,,,05-07-2020,-12,2,-7,-28,-11,5
JP,Japan,Overall,,,,,06-07-2020,-20,-9,-31,-22,-11,7
JP,Japan,Overall,,,,,07-07-2020,-12,-1,-18,-22,-12,7
JP,Japan,Overall,,,,,08-07-2020,-12,-1,-12,-22,-12,6
JP,Japan,Overall,,,,,09-07-2020,-14,-2,-20,-21,-11,7
JP,Japan,Overall,,,,,10-07-2020,-13,0,-17,-22,-12,7
JP,Japan,Overall,,,,,11-07-2020,-12,1,-22,-27,-15,7
JP,Japan,Overall,,,,,12-07-2020,-11,2,-3,-27,-10,5
JP,Japan,Overall,,,,,13-07-2020,-15,-5,-18,-20,-10,6
JP,Japan,Overall,,,,,14-07-2020,-12,-2,-17,-22,-12,7
JP,Japan,Overall,,,,,15-07-2020,-10,1,-9,-20,-11,6
JP,Japan,Overall,,,,,16-07-2020,-9,3,0,-20,-11,6
JP,Japan,Overall,,,,,17-07-2020,-14,-3,-15,-22,-12,7
JP,Japan,Overall,,,,,18-07-2020,-13,0,-15,-26,-11,6
JP,Japan,Overall,,,,,19-07-2020,-13,0,6,-28,-10,5
JP,Japan,Overall,,,,,20-07-2020,-11,1,-4,-20,-9,5
JP,Japan,Overall,,,,,21-07-2020,-7,3,0,-19,-10,6
JP,Japan,Overall,,,,,22-07-2020,-4,4,-1,-16,-9,4
JP,Japan,Overall,,,,,23-07-2020,6,3,9,-39,-58,18
JP,Japan,Overall,,,,,24-07-2020,-2,1,26,-42,-61,21
JP,Japan,Overall,,,,,25-07-2020,-16,-3,-19,-28,-20,8
JP,Japan,Overall,,,,,26-07-2020,-18,-4,-21,-29,-12,6
JP,Japan,Overall,,,,,27-07-2020,-13,-1,-14,-20,-11,6
JP,Japan,Overall,,,,,28-07-2020,-10,0,-8,-21,-12,7
JP,Japan,Overall,,,,,29-07-2020,-12,1,-3,-22,-12,6
JP,Japan,Overall,,,,,30-07-2020,-11,2,-2,-22,-12,6
JP,Japan,Overall,,,,,31-07-2020,-14,1,-5,-23,-12,7
JP,Japan,Overall,,,,,01-08-2020,-15,3,3,-26,-9,5
JP,Japan,Overall,,,,,02-08-2020,-15,2,9,-29,-10,5
JP,Japan,Overall,,,,,03-08-2020,-12,0,3,-22,-12,6
JP,Japan,Overall,,,,,04-08-2020,-8,5,8,-22,-13,6
JP,Japan,Overall,,,,,05-08-2020,-9,3,6,-23,-14,6
JP,Japan,Overall,,,,,06-08-2020,-9,3,4,-23,-14,6
JP,Japan,Overall,,,,,07-08-2020,-11,1,1,-24,-15,7
JP,Japan,Overall,,,,,08-08-2020,-14,2,0,-25,-12,5
JP,Japan,Overall,,,,,09-08-2020,-12,1,10,-23,-11,4
JP,Japan,Overall,,,,,10-08-2020,8,4,36,-42,-64,19
JP,Japan,Overall,,,,,11-08-2020,3,8,20,-28,-33,11
JP,Japan,Overall,,,,,12-08-2020,3,8,23,-29,-37,11
JP,Japan,Overall,,,,,13-08-2020,8,10,30,-32,-53,15
JP,Japan,Overall,,,,,14-08-2020,1,6,29,-34,-57,18
JP,Japan,Overall,,,,,15-08-2020,-14,0,6,-29,-41,9
JP,Japan,Overall,,,,,16-08-2020,-19,-3,-5,-30,-18,5
JP,Japan,Overall,,,,,17-08-2020,-11,-1,-3,-26,-17,7
JP,Japan,Overall,,,,,18-08-2020,-9,1,4,-25,-15,7
JP,Japan,Overall,,,,,19-08-2020,-12,0,2,-25,-15,7
JP,Japan,Overall,,,,,20-08-2020,-11,2,-4,-26,-14,7
JP,Japan,Overall,,,,,21-08-2020,-15,-3,-4,-27,-15,8
JP,Japan,Overall,,,,,22-08-2020,-15,-1,-8,-28,-12,6
JP,Japan,Overall,,,,,23-08-2020,-17,-3,-9,-31,-11,5
JP,Japan,Overall,,,,,24-08-2020,-13,-3,-5,-24,-12,6
JP,Japan,Overall,,,,,25-08-2020,-7,3,1,-22,-12,6
JP,Japan,Overall,,,,,26-08-2020,-11,0,-2,-23,-12,6
JP,Japan,Overall,,,,,27-08-2020,-12,0,-7,-24,-12,6
JP,Japan,Overall,,,,,28-08-2020,-14,-2,-6,-25,-13,7
JP,Japan,Overall,,,,,29-08-2020,-13,0,-5,-26,-12,5
JP,Japan,Overall,,,,,30-08-2020,-14,0,-8,-29,-10,5
JP,Japan,Overall,,,,,31-08-2020,-13,-2,-10,-23,-10,6
JP,Japan,Overall,,,,,01-09-2020,-11,1,-3,-22,-11,6
JP,Japan,Overall,,,,,02-09-2020,-15,-3,-10,-25,-12,6
JP,Japan,Overall,,,,,03-09-2020,-13,-1,-11,-24,-12,6
JP,Japan,Overall,,,,,04-09-2020,-13,-1,-10,-24,-12,7
JP,Japan,Overall,,,,,05-09-2020,-12,2,-12,-27,-11,6
JP,Japan,Overall,,,,,06-09-2020,-20,-8,-23,-35,-13,6
JP,Japan,Overall,,,,,07-09-2020,-22,-13,-23,-29,-19,9
JP,Japan,Overall,,,,,08-09-2020,-9,1,0,-21,-12,5
JP,Japan,Overall,,,,,09-09-2020,-12,-3,-3,-22,-12,5
JP,Japan,Overall,,,,,10-09-2020,-10,0,-4,-20,-12,5
JP,Japan,Overall,,,,,11-09-2020,-12,-2,-2,-21,-12,6
JP,Japan,Overall,,,,,12-09-2020,-12,-3,-15,-25,-13,5
JP,Japan,Overall,,,,,13-09-2020,-11,-2,-1,-25,-9,3
JP,Japan,Overall,,,,,14-09-2020,-11,-4,2,-19,-9,4
JP,Japan,Overall,,,,,15-09-2020,-5,2,11,-17,-10,4
JP,Japan,Overall,,,,,16-09-2020,-9,-1,7,-18,-10,4
JP,Japan,Overall,,,,,17-09-2020,-10,-3,0,-19,-11,4
JP,Japan,Overall,,,,,18-09-2020,-11,-3,-6,-19,-11,5
JP,Japan,Overall,,,,,19-09-2020,-8,1,12,-12,-9,2
JP,Japan,Overall,,,,,20-09-2020,-3,2,27,-7,-8,0
JP,Japan,Overall,,,,,21-09-2020,21,5,76,-25,-62,14
JP,Japan,Overall,,,,,22-09-2020,12,5,53,-34,-60,16
JP,Japan,Overall,,,,,23-09-2020,-14,-2,-10,-18,-9,5
JP,Japan,Overall,,,,,24-09-2020,-15,-5,-17,-22,-10,6
JP,Japan,Overall,,,,,25-09-2020,-15,-4,-25,-19,-10,7
JP,Japan,Overall,,,,,26-09-2020,-12,0,-15,-20,-7,5
JP,Japan,Overall,,,,,27-09-2020,-9,2,7,-20,-6,3
JP,Japan,Overall,,,,,28-09-2020,-7,1,2,-15,-9,4
JP,Japan,Overall,,,,,29-09-2020,-4,3,6,-16,-9,4
JP,Japan,Overall,,,,,30-09-2020,-5,5,4,-16,-8,3
JP,Japan,Overall,,,,,01-10-2020,-9,1,-3,-18,-8,4
JP,Japan,Overall,,,,,02-10-2020,-11,-2,2,-19,-9,5
JP,Japan,Overall,,,,,03-10-2020,-9,1,11,-17,-9,4
JP,Japan,Overall,,,,,04-10-2020,-10,0,12,-18,-8,3
JP,Japan,Overall,,,,,05-10-2020,-11,-2,-4,-17,-9,4
JP,Japan,Overall,,,,,06-10-2020,-6,1,7,-16,-9,4
JP,Japan,Overall,,,,,07-10-2020,-10,-2,-2,-17,-9,4
JP,Japan,Overall,,,,,08-10-2020,-15,-7,-30,-20,-10,6
JP,Japan,Overall,,,,,09-10-2020,-17,-7,-26,-21,-11,7
JP,Japan,Overall,,,,,10-10-2020,-17,-7,-33,-30,-16,8
JP,Japan,Overall,,,,,11-10-2020,-8,2,7,-18,-7,3
JP,Japan,Overall,,,,,12-10-2020,-10,-2,0,-17,-9,4
JP,Japan,Overall,,,,,13-10-2020,-7,1,8,-16,-9,4
JP,Japan,Overall,,,,,14-10-2020,-8,-1,8,-16,-9,4
JP,Japan,Overall,,,,,15-10-2020,-6,3,-5,-15,-9,4
JP,Japan,Overall,,,,,16-10-2020,-7,1,-1,-16,-10,5
JP,Japan,Overall,,,,,17-10-2020,-11,-4,-34,-20,-11,6
JP,Japan,Overall,,,,,18-10-2020,-4,4,18,-11,-7,2
JP,Japan,Overall,,,,,19-10-2020,-11,-5,-13,-16,-9,5
JP,Japan,Overall,,,,,20-10-2020,-2,4,8,-15,-8,4
JP,Japan,Overall,,,,,21-10-2020,-6,1,9,-15,-8,3
JP,Japan,Overall,,,,,22-10-2020,-8,-1,-10,-17,-9,4
JP,Japan,Overall,,,,,23-10-2020,-11,-3,-21,-18,-10,6
JP,Japan,Overall,,,,,24-10-2020,-3,4,11,-11,-11,3
JP,Japan,Overall,,,,,25-10-2020,-3,5,24,-9,-7,1
JP,Japan,Overall,,,,,26-10-2020,-6,0,3,-15,-8,3
JP,Japan,Overall,,,,,27-10-2020,-3,3,9,-15,-8,4
JP,Japan,Overall,,,,,28-10-2020,-5,1,7,-16,-8,3
JP,Japan,Overall,,,,,29-10-2020,-6,0,3,-16,-8,4
JP,Japan,Overall,,,,,30-10-2020,-7,0,-3,-17,-8,4
JP,Japan,Overall,,,,,31-10-2020,-5,2,14,-11,-7,2
JP,Japan,Overall,,,,,01-11-2020,-5,2,19,-12,-6,2
JP,Japan,Overall,,,,,02-11-2020,-5,-4,-19,-17,-11,5
JP,Japan,Overall,,,,,03-11-2020,16,5,33,-36,-57,17
JP,Japan,Overall,,,,,04-11-2020,-10,-1,-1,-16,-6,3
JP,Japan,Overall,,,,,05-11-2020,-8,0,0,-17,-7,4
JP,Japan,Overall,,,,,06-11-2020,-11,-3,-3,-18,-7,5
JP,Japan,Overall,,,,,07-11-2020,-10,-2,-13,-19,-5,4
JP,Japan,Overall,,,,,08-11-2020,-7,1,15,-15,-7,3
JP,Japan,Overall,,,,,09-11-2020,-10,-3,-5,-17,-7,4
JP,Japan,Overall,,,,,10-11-2020,-4,2,0,-16,-8,4
JP,Japan,Overall,,,,,11-11-2020,-6,0,1,-17,-8,4
JP,Japan,Overall,,,,,12-11-2020,-7,0,-2,-17,-8,4
JP,Japan,Overall,,,,,13-11-2020,-9,-1,-1,-18,-9,5
JP,Japan,Overall,,,,,14-11-2020,-6,1,10,-14,-10,4
JP,Japan,Overall,,,,,15-11-2020,-6,3,21,-13,-7,2
JP,Japan,Overall,,,,,16-11-2020,-9,-2,0,-17,-8,4
JP,Japan,Overall,,,,,17-11-2020,-6,0,7,-17,-8,4
JP,Japan,Overall,,,,,18-11-2020,-8,-1,7,-17,-8,4
JP,Japan,Overall,,,,,19-11-2020,-9,-1,-1,-18,-8,4
JP,Japan,Overall,,,,,20-11-2020,-11,-1,-15,-19,-9,6
JP,Japan,Overall,,,,,21-11-2020,-9,1,4,-15,-7,3
JP,Japan,Overall,,,,,22-11-2020,-6,-1,17,-12,-8,2
JP,Japan,Overall,,,,,23-11-2020,9,1,29,-38,-60,17
JP,Japan,Overall,,,,,24-11-2020,-9,0,-5,-17,-7,4
JP,Japan,Overall,,,,,25-11-2020,-9,0,-10,-18,-7,4
JP,Japan,Overall,,,,,26-11-2020,-8,1,-4,-18,-7,4
JP,Japan,Overall,,,,,27-11-2020,-11,-2,-9,-20,-8,5
JP,Japan,Overall,,,,,28-11-2020,-10,0,-10,-21,-7,5
JP,Japan,Overall,,,,,29-11-2020,-10,0,-4,-24,-7,4
JP,Japan,Overall,,,,,30-11-2020,-8,0,-11,-19,-6,4
JP,Japan,Overall,,,,,01-12-2020,-7,2,-5,-19,-7,5
JP,Japan,Overall,,,,,02-12-2020,-11,-3,-12,-21,-7,5
JP,Japan,Overall,,,,,03-12-2020,-10,0,-13,-21,-7,5
JP,Japan,Overall,,,,,04-12-2020,-10,-1,-11,-21,-8,6
JP,Japan,Overall,,,,,05-12-2020,-11,-1,-21,-24,-7,5
JP,Japan,Overall,,,,,06-12-2020,-8,1,-1,-23,-7,4
JP,Japan,Overall,,,,,07-12-2020,-11,-2,-10,-20,-7,5
JP,Japan,Overall,,,,,08-12-2020,-8,0,-7,-21,-7,5
JP,Japan,Overall,,,,,09-12-2020,-10,-2,-9,-22,-8,5
JP,Japan,Overall,,,,,10-12-2020,-8,2,-12,-20,-8,5
JP,Japan,Overall,,,,,11-12-2020,-11,-2,-10,-21,-8,5
JP,Japan,Overall,,,,,12-12-2020,-8,1,-13,-22,-9,5
JP,Japan,Overall,,,,,13-12-2020,-8,1,-10,-24,-7,4
JP,Japan,Overall,,,,,14-12-2020,-12,-5,-20,-21,-8,5
JP,Japan,Overall,,,,,15-12-2020,-4,3,-17,-19,-8,5
JP,Japan,Overall,,,,,16-12-2020,-9,-1,-19,-21,-8,5
JP,Japan,Overall,,,,,17-12-2020,-9,0,-20,-21,-8,5
JP,Japan,Overall,,,,,18-12-2020,-10,0,-18,-21,-8,6
JP,Japan,Overall,,,,,19-12-2020,-9,1,-25,-23,-6,5
JP,Japan,Overall,,,,,20-12-2020,-8,2,-22,-26,-6,4
JP,Japan,Overall,,,,,21-12-2020,-8,0,-18,-20,-8,5
JP,Japan,Overall,,,,,22-12-2020,-4,2,-12,-20,-8,5
JP,Japan,Overall,,,,,23-12-2020,-4,3,-11,-20,-8,4
JP,Japan,Overall,,,,,24-12-2020,0,8,-22,-21,-9,5
JP,Japan,Overall,,,,,25-12-2020,-6,5,-19,-22,-10,7
JP,Japan,Overall,,,,,26-12-2020,-12,1,-24,-24,-5,5
JP,Japan,Overall,,,,,27-12-2020,-11,2,-21,-26,-4,5
JP,Japan,Overall,,,,,28-12-2020,9,9,-16,-26,-26,9
JP,Japan,Overall,,,,,29-12-2020,18,17,-4,-36,-49,16
JP,Japan,Overall,,,,,30-12-2020,9,17,-31,-45,-64,21
JP,Japan,Overall,,,,,31-12-2020,-9,13,-28,-57,-75,27
JP,Japan,Overall,,,,,01-01-2021,-45,-41,-8,-66,-84,32
JP,Japan,Overall,,,,,02-01-2021,-28,-21,-27,-45,-60,15
JP,Japan,Overall,,,,,03-01-2021,-24,-14,-25,-35,-29,8
JP,Japan,Overall,,,,,04-01-2021,0,0,-11,-35,-43,16
JP,Japan,Overall,,,,,05-01-2021,-7,0,-19,-29,-21,11
JP,Japan,Overall,,,,,06-01-2021,-14,0,-19,-28,-12,7
JP,Japan,Overall,,,,,07-01-2021,-21,-5,-30,-30,-12,9
JP,Japan,Overall,,,,,08-01-2021,-27,-8,-32,-32,-13,10
JP,Japan,Overall,,,,,09-01-2021,-27,-8,-37,-40,-12,10
JP,Japan,Overall,,,,,10-01-2021,-20,-5,-27,-40,-12,7
JP,Japan,Overall,,,,,11-01-2021,-7,-4,-16,-54,-60,22
JP,Japan,Overall,,,,,12-01-2021,-23,-7,-34,-29,-12,9
JP,Japan,Overall,,,,,13-01-2021,-21,-4,-18,-29,-11,7
JP,Japan,Overall,,,,,14-01-2021,-22,-5,-17,-31,-12,7
JP,Japan,Overall,,,,,15-01-2021,-25,-6,-24,-33,-13,8
JP,Japan,Overall,,,,,16-01-2021,-25,-7,-24,-39,-11,7
JP,Japan,Overall,,,,,17-01-2021,-25,-9,-30,-44,-14,7
JP,Japan,Overall,,,,,18-01-2021,-25,-9,-25,-32,-13,7
JP,Japan,Overall,,,,,19-01-2021,-23,-8,-24,-33,-15,8
JP,Japan,Overall,,,,,20-01-2021,-21,-5,-18,-32,-14,7
JP,Japan,Overall,,,,,21-01-2021,-22,-6,-18,-32,-14,7
JP,Japan,Overall,,,,,22-01-2021,-27,-9,-29,-34,-14,9
JP,Japan,Overall,,,,,23-01-2021,-28,-11,-56,-42,-16,10
JP,Japan,Overall,,,,,24-01-2021,-29,-13,-55,-47,-16,9
JP,Japan,Overall,,,,,25-01-2021,-20,-4,-18,-30,-13,7
JP,Japan,Overall,,,,,26-01-2021,-20,-5,-21,-31,-14,8
JP,Japan,Overall,,,,,27-01-2021,-22,-6,-24,-33,-14,8
JP,Japan,Overall,,,,,28-01-2021,-23,-7,-29,-33,-14,8
JP,Japan,Overall,,,,,29-01-2021,-26,-8,-30,-34,-13,9
JP,Japan,Overall,,,,,30-01-2021,-21,-3,-28,-37,-12,8
JP,Japan,Overall,,,,,31-01-2021,-19,-3,-16,-38,-10,6
JP,Japan,Aichi,,,JP-23,,15-02-2020,0,3,8,-4,4,0
JP,Japan,Aichi,,,JP-23,,16-02-2020,-8,-6,-42,-12,-2,3
JP,Japan,Aichi,,,JP-23,,17-02-2020,-1,1,1,-2,1,1
JP,Japan,Aichi,,,JP-23,,18-02-2020,0,-1,0,-4,0,1
JP,Japan,Aichi,,,JP-23,,19-02-2020,1,1,6,-4,1,1
JP,Japan,Aichi,,,JP-23,,20-02-2020,3,4,5,-4,0,0
JP,Japan,Aichi,,,JP-23,,21-02-2020,0,2,9,-2,0,1
JP,Japan,Aichi,,,JP-23,,22-02-2020,-5,-1,-23,-8,-2,3
JP,Japan,Aichi,,,JP-23,,23-02-2020,-2,2,-3,-5,-1,1
JP,Japan,Aichi,,,JP-23,,24-02-2020,17,2,53,-25,-44,11
JP,Japan,Aichi,,,JP-23,,25-02-2020,-2,5,-1,-4,1,1
JP,Japan,Aichi,,,JP-23,,26-02-2020,-2,4,5,-6,1,1
